,TaMin_2m,TaMax_2m,RHMin_2m,RHMax_2m,WndAveSpd_3m,Solar_2m_Avg,Rain_1m_Tot,hour,date,Ta_mid_2m,RH_mid_2m,VPD_kPa,Tcns
2023-04-01 11:00:00,7.146,10.25,33.93,48.13,2.6695166666666665,668.4633333333334,0.0,11,2023-04-01,8.698,41.03,0.6633223545888504,12.295064252512834
2023-04-01 12:00:00,9.97,13.07,26.33,35.85,2.2029,786.7866666666666,0.0,12,2023-04-01,11.52,31.09,0.9363377819631422,14.768463549486777
2023-04-01 13:00:00,12.45,16.26,20.23,27.82,3.3697,826.815,0.0,13,2023-04-01,14.355,24.025,1.2428042773623627,16.930636297824574
2023-04-02 11:00:00,16.12,17.57,24.77,28.29,6.361400000000001,658.5216666666668,0.0,11,2023-04-02,16.845,26.53,1.4097257397214513,18.26587351073723
2023-04-02 12:00:00,16.49,18.81,22.74,26.32,6.13535,767.0083333333333,0.0,12,2023-04-02,17.65,24.53,1.5237412599460718,19.180604339744864
2023-04-02 13:00:00,17.05,19.17,22.06,25.27,5.175633333333334,838.7666666666667,0.0,13,2023-04-02,18.11,23.665,1.5864763369645736,19.740992644734703
2023-04-03 11:00:00,7.708,9.5,33.49,36.47,6.798383333333334,680.5166666666667,0.0,11,2023-04-03,8.604,34.980000000000004,0.726732815365906,12.163525751052768
2023-04-03 12:00:00,8.69,10.92,33.25,36.87,6.323883333333333,783.0483333333334,0.0,12,2023-04-03,9.805,35.06,0.7870784454615565,13.47975542074741
2023-04-03 13:00:00,10.3,12.48,31.86,36.36,4.536600000000001,832.635,0.0,13,2023-04-03,11.39,34.11,0.8876272873167841,14.886462933390662
2023-04-04 11:00:00,-2.443,-0.645,82.3,93.3,5.683766666666667,202.34,0.0,11,2023-04-04,-1.544,87.8,0.06654854103047582,2.6184146155058103
2023-04-04 12:00:00,-1.362,-0.224,79.15,84.0,5.604216666666667,189.94833333333332,0.0,12,2023-04-04,-0.793,81.575,0.1062082827202698,3.1709071567222753
2023-04-04 13:00:00,-1.742,-0.556,78.07,82.4,5.459966666666667,164.1616666666667,0.0,13,2023-04-04,-1.149,80.235,0.11099491223628641,2.7639932105907183
2023-04-05 11:00:00,-1.552,0.42,41.93,49.46,6.037533333333333,633.1783333333333,0.0,11,2023-04-05,-0.5660000000000001,45.695,0.31827805328602216,4.612200989401934
2023-04-05 12:00:00,-1.385,2.029,39.55,47.24,6.729233333333334,720.1033333333332,0.0,12,2023-04-05,0.32199999999999995,43.394999999999996,0.35393000607123193,5.63730315786338
2023-04-05 13:00:00,0.603,3.204,35.44,41.68,6.64935,830.2116666666666,0.0,13,2023-04-05,1.9035000000000002,38.56,0.4305611058854716,7.2874722297994
2023-04-06 11:00:00,7.433,9.51,35.9,40.41,5.80095,617.2316666666667,0.0,11,2023-04-06,8.471499999999999,38.155,0.685062739391138,11.887174861216183
2023-04-06 12:00:00,8.31,10.35,29.46,37.99,5.6777500000000005,582.8383333333334,0.0,12,2023-04-06,9.33,33.725,0.778006855800815,12.378924225755485
2023-04-06 13:00:00,8.31,10.68,28.41,38.77,5.792383333333333,564.5550000000001,0.0,13,2023-04-06,9.495000000000001,33.59,0.7883007355724628,12.443556433419928
2023-04-07 11:00:00,9.93,13.76,21.26,26.62,7.26255,707.6083333333333,0.0,11,2023-04-07,11.844999999999999,23.94,1.0559356418614598,14.60067248596755
2023-04-07 12:00:00,13.14,16.74,17.39,22.14,7.091816666666667,810.9966666666667,0.0,12,2023-04-07,14.94,19.765,1.3630080266943827,17.20992669462648
2023-04-07 13:00:00,15.88,18.2,16.0,18.41,7.485600000000001,856.55,0.0,13,2023-04-07,17.04,17.205,1.6084143509563296,18.84052419111332
2023-04-08 11:00:00,12.7,17.02,17.26,23.29,4.122283333333333,702.9066666666666,0.0,11,2023-04-08,14.86,20.275,1.3473812395349711,16.784670536007624
2023-04-08 12:00:00,16.07,19.23,16.04,18.95,4.65565,778.2233333333334,0.0,12,2023-04-08,17.65,17.494999999999997,1.665778092644106,19.013903432332715
2023-04-08 13:00:00,18.37,21.43,13.43,17.19,5.462866666666667,761.4866666666666,0.0,13,2023-04-08,19.9,15.31,1.968064977380168,20.47450911613209
2023-04-09 11:00:00,16.73,19.57,22.19,29.78,3.667133333333333,721.5516666666666,0.0,11,2023-04-09,18.15,25.985,1.5421293319070657,19.42984330206809
2023-04-09 12:00:00,18.4,20.82,18.67,23.71,2.902416666666667,703.7900000000001,0.0,12,2023-04-09,19.61,21.19,1.7987772236987676,20.26573802563679
2023-04-09 13:00:00,19.71,22.07,16.84,20.66,3.5947999999999998,744.5883333333334,0.0,13,2023-04-09,20.89,18.75,2.0070789418474413,21.22009470098788
2023-04-10 11:00:00,16.32,20.11,17.89,26.94,1.1970166666666666,716.4449999999999,0.0,11,2023-04-10,18.215,22.415,1.623122259731247,19.351080223389694
2023-04-10 12:00:00,19.06,20.69,17.52,21.31,1.9150833333333332,823.1916666666667,0.0,12,2023-04-10,19.875,19.415,1.8697727270639402,20.811250379090623
2023-04-10 13:00:00,20.22,22.11,16.37,19.95,2.126116666666667,870.3666666666667,0.0,13,2023-04-10,21.165,18.16,2.056085298989246,21.82850964979893
2023-04-11 11:00:00,21.49,23.92,17.11,20.3,8.159766666666666,725.6066666666667,0.0,11,2023-04-11,22.705,18.705,2.2434964899783782,22.389903422864684
2023-04-11 12:00:00,23.44,25.75,16.87,18.87,7.249066666666667,827.7866666666666,0.0,12,2023-04-11,24.595,17.87,2.5395888988282382,23.962499430032388
2023-04-11 13:00:00,25.04,27.82,13.35,18.06,7.08045,874.8333333333334,0.0,13,2023-04-11,26.43,15.704999999999998,2.906353570966929,25.19180398876462
2023-04-12 11:00:00,18.67,21.62,39.0,48.31,3.79195,715.3516666666667,0.0,11,2023-04-12,20.145000000000003,43.655,1.3293768972761495,21.452284332282918
2023-04-12 12:00:00,20.67,24.33,32.8,41.36,3.7349166666666664,816.215,0.0,12,2023-04-12,22.5,37.08,1.7149397220761549,23.295089902989574
2023-04-12 13:00:00,23.62,27.25,25.93,36.62,5.023133333333333,861.2,0.0,13,2023-04-12,25.435000000000002,31.275,2.2341060491810985,25.253196228687408
2023-04-13 11:00:00,22.92,26.31,21.57,30.47,4.441516666666667,715.4533333333333,0.0,11,2023-04-13,24.615000000000002,26.02,2.290313134769517,23.94818262125087
2023-04-13 12:00:00,25.97,28.94,18.66,23.36,5.981616666666667,818.1216666666667,0.0,12,2023-04-13,27.455,21.009999999999998,2.8923180427390776,25.905414671361672
2023-04-13 13:00:00,28.37,30.71,16.97,20.15,7.141916666666666,883.7283333333332,0.0,13,2023-04-13,29.54,18.56,3.3654181308277114,27.262992876966486
2023-04-14 11:00:00,8.88,10.54,51.33,56.14,7.53855,278.19166666666666,0.0,11,2023-04-14,9.71,53.735,0.5571705589201361,11.963473522899136
2023-04-14 12:00:00,9.59,11.01,48.86,52.82,6.7355833333333335,292.89500000000004,0.0,12,2023-04-14,10.3,50.84,0.6159097925342242,12.443063300825374
2023-04-14 13:00:00,9.59,10.72,49.47,52.34,6.043466666666666,173.785,0.0,13,2023-04-14,10.155000000000001,50.905,0.6091586701490258,11.909817428283914
2023-04-15 11:00:00,4.371,5.745,63.38,74.22,6.536683333333333,274.375,0.0,11,2023-04-15,5.058,68.8,0.2732648757239231,8.314538430200312
2023-04-15 12:00:00,4.653,5.84,60.29,73.24,6.34455,277.2033333333333,0.0,12,2023-04-15,5.246499999999999,66.765,0.2949390228789691,8.457005083492161
2023-04-15 13:00:00,5.212,6.498,52.74,65.38,5.928866666666666,228.87833333333336,0.0,13,2023-04-15,5.855,59.06,0.3790076247443372,8.695363110787378
2023-04-16 11:00:00,8.32,11.01,27.56,36.17,6.66895,744.4933333333333,0.0,11,2023-04-16,9.665,31.865000000000002,0.8180746548622742,13.17806841711637
2023-04-16 12:00:00,10.11,12.29,22.52,29.12,6.06985,847.95,0.0,12,2023-04-16,11.2,25.82,0.9867928673818216,14.63097534229636
2023-04-16 13:00:00,11.14,13.73,17.5,25.86,5.887266666666666,895.8333333333334,0.0,13,2023-04-16,12.435,21.68,1.1303964627622793,15.664791795661362
2023-04-17 11:00:00,14.44,17.87,19.62,24.34,4.6771666666666665,742.425,0.0,11,2023-04-17,16.155,21.98,1.4327332823918069,17.92587424053188
2023-04-17 12:00:00,17.39,20.3,18.06,21.62,4.305516666666667,834.205,0.0,12,2023-04-17,18.845,19.84,1.7444694119201065,20.135386852715847
2023-04-17 13:00:00,19.97,22.94,14.54,19.35,3.397266666666667,888.9833333333333,0.0,13,2023-04-17,21.455,16.945,2.1240213759512403,22.04746067153737
2023-04-18 11:00:00,13.35,18.72,33.33,42.51,1.7731666666666668,645.0616666666666,0.0,11,2023-04-18,16.035,37.92,1.131318335915133,17.91775424625639
2023-04-18 12:00:00,18.2,20.77,31.39,36.4,2.567133333333333,590.245,0.0,12,2023-04-18,19.485,33.894999999999996,1.497124795981748,20.196976545826466
2023-04-18 13:00:00,20.29,21.48,30.1,32.34,3.4145166666666666,489.99833333333333,0.0,13,2023-04-18,20.884999999999998,31.220000000000002,1.698516454349362,20.77209530786009
2023-04-19 11:00:00,16.32,18.15,14.79,19.43,6.215599999999999,737.065,0.0,11,2023-04-19,17.235,17.11,1.630260406363237,18.560299910773306
2023-04-19 12:00:00,17.53,19.85,8.93,15.9,6.3206,735.06,0.0,12,2023-04-19,18.69,12.415,1.8876790042472102,19.445875443841548
2023-04-19 13:00:00,18.35,19.97,7.847,9.41,6.3198,752.86,0.0,13,2023-04-19,19.16,8.6285,2.027920526371065,19.71372523676196
2023-04-20 11:00:00,8.51,10.96,30.0,41.99,7.021649999999999,710.2816666666666,0.0,11,2023-04-20,9.735,35.995000000000005,0.772109127712982,13.185877598149508
2023-04-20 12:00:00,9.92,12.62,26.21,32.3,7.7213,743.1833333333333,0.0,12,2023-04-20,11.27,29.255,0.9454789926472071,14.385097127328216
2023-04-20 13:00:00,9.77,13.71,23.63,31.86,6.577233333333334,512.0533333333334,0.0,13,2023-04-20,11.74,27.744999999999997,0.9961783997925657,13.911527986967448
2023-04-21 11:00:00,3.659,5.932,32.86,39.33,6.1180666666666665,715.5883333333334,0.0,11,2023-04-21,4.7955000000000005,36.095,0.5495426094533523,9.229807382959306
2023-04-21 12:00:00,4.931,8.04,29.29,34.28,6.1956,792.1433333333333,0.0,12,2023-04-21,6.4855,31.785,0.6596457483100097,10.808400331617154
2023-04-21 13:00:00,6.475,9.41,27.46,31.97,7.201233333333334,836.5550000000001,0.0,13,2023-04-21,7.9425,29.715,0.7510478703550528,12.098898087985173
2023-04-22 11:00:00,2.867,5.935,28.73,41.84,5.68065,753.3433333333334,0.0,11,2023-04-22,4.401,35.285000000000004,0.5413425684089171,9.030624942473736
2023-04-22 12:00:00,4.414,7.715,22.69,32.48,6.034916666666667,854.6833333333333,0.0,12,2023-04-22,6.0645,27.585,0.6801892550512243,10.63123224684239
2023-04-22 13:00:00,5.77,8.51,21.4,26.35,5.462266666666666,903.3383333333334,0.0,13,2023-04-22,7.14,23.875,0.7700275436698385,11.6069442283454
2023-04-23 11:00:00,7.092,10.2,26.41,32.92,2.143466666666667,761.5716666666667,0.0,11,2023-04-23,8.645999999999999,29.665,0.7883794534110193,12.394370625887356
2023-04-23 12:00:00,8.83,11.74,23.49,28.88,2.6038644067796612,863.4745762711865,0.0,12,2023-04-23,10.285,26.185,0.9238774276528613,13.980488746852505
2023-04-23 13:00:00,10.32,13.16,21.09,27.21,3.22045,921.9216666666667,0.0,13,2023-04-23,11.74,24.15,1.0457426008479151,15.274199062103856
2023-04-24 11:00:00,14.28,16.92,32.01,35.29,2.6527499999999997,737.1033333333332,0.0,11,2023-04-24,15.600000000000001,33.65,1.1759525474558423,17.7967304728557
2023-04-24 12:00:00,16.11,18.59,31.57,34.99,3.879833333333333,859.38,0.0,12,2023-04-24,17.35,33.28,1.3218088431215327,19.535707177473782
2023-04-24 13:00:00,17.36,19.73,26.31,34.3,5.028483333333333,780.5216666666668,0.0,13,2023-04-24,18.545,30.305,1.4885369309332335,20.05759728348015
2023-04-25 11:00:00,10.58,12.71,54.2,60.06,2.6936666666666667,549.7383333333333,0.0,11,2023-04-25,11.645,57.13,0.5873479340516358,14.553579662291794
2023-04-25 12:00:00,11.64,12.97,52.77,57.54,2.9212,476.7933333333333,0.0,12,2023-04-25,12.305,55.155,0.6417418106795932,14.793601041181255
2023-04-25 13:00:00,11.83,13.06,52.67,56.66,2.9519666666666664,231.22833333333335,0.0,13,2023-04-25,12.445,54.665,0.654752393131561,14.037058196625903
2023-04-26 11:00:00,12.74,15.02,40.13,53.89,1.9962166666666665,670.2800000000001,0.0,11,2023-04-26,13.879999999999999,47.010000000000005,0.8405265874361767,16.552816448217545
2023-04-26 12:00:00,12.7,15.78,39.22,47.44,2.3272166666666667,492.9483333333334,0.0,12,2023-04-26,14.239999999999998,43.33,0.9201356170307284,16.12992252197211
2023-04-26 13:00:00,14.22,15.45,35.46,41.55,2.1454833333333334,386.2683333333333,0.0,13,2023-04-26,14.835,38.504999999999995,1.0376142413994427,16.103848516637477
2023-04-27 11:00:00,11.15,17.71,39.7,63.79,7.338383333333334,677.0233333333333,0.0,11,2023-04-27,14.43,51.745000000000005,0.793197796098711,17.123544862323538
2023-04-27 12:00:00,17.32,19.95,30.72,42.27,7.312316666666666,850.3349999999999,0.0,12,2023-04-27,18.634999999999998,36.495000000000005,1.363993231319933,20.560832314586097
2023-04-27 13:00:00,19.03,21.48,26.38,32.81,6.412533333333333,865.7233333333334,0.0,13,2023-04-27,20.255000000000003,29.595,1.6724336653606213,21.57685285189377
2023-04-28 11:00:00,8.79,12.15,39.28,51.53,8.0042,469.08,0.0,11,2023-04-28,10.469999999999999,45.405,0.6918152246495337,13.097547924258174
2023-04-28 12:00:00,9.54,11.01,43.85,48.55,7.642783333333333,290.31666666666666,0.0,12,2023-04-28,10.274999999999999,46.2,0.672917222549147,12.32962836063707
2023-04-28 13:00:00,9.83,11.77,37.11,45.51,7.3619,268.77000000000004,0.0,13,2023-04-28,10.8,41.31,0.7602491823044891,12.58433368565849
2023-04-29 11:00:00,18.1,19.66,21.11,28.96,8.421416666666666,774.6633333333334,0.0,11,2023-04-29,18.880000000000003,25.035,1.6349840216538836,20.11619483526854
2023-04-29 12:00:00,18.64,20.39,18.94,24.08,8.697716666666668,873.9833333333333,0.0,12,2023-04-29,19.515,21.509999999999998,1.7809334389761302,20.80463818015128
2023-04-29 13:00:00,18.59,20.72,17.32,20.02,9.070549999999999,909.7083333333334,0.0,13,2023-04-29,19.655,18.67,1.8614872696383722,20.93467262569103
2023-04-30 11:00:00,10.02,12.29,24.17,30.27,7.1545,789.0699999999999,0.0,11,2023-04-30,11.155,27.22,0.9652815527257296,14.41693674854769
2023-04-30 12:00:00,11.44,13.25,18.55,25.8,7.035633333333333,887.9666666666667,0.0,12,2023-04-30,12.344999999999999,22.175,1.116626528850851,15.578924866499598
2023-04-30 13:00:00,12.12,14.25,16.86,21.36,6.798383333333334,929.6166666666667,0.0,13,2023-04-30,13.184999999999999,19.11,1.2262865604759488,16.29649282064321
2023-05-01 11:00:00,10.7,13.24,26.33,32.19,1.8999166666666667,787.3683333333333,0.0,11,2023-05-01,11.969999999999999,29.259999999999998,0.9902126855534734,15.083880772614128
2023-05-01 12:00:00,12.29,14.93,24.29,29.84,1.9530666666666667,883.0833333333334,0.0,12,2023-05-01,13.61,27.064999999999998,1.1367595364306673,16.633190338842198
2023-05-01 13:00:00,13.74,16.49,19.86,26.66,2.3361,925.2,0.0,13,2023-05-01,15.114999999999998,23.259999999999998,1.3184034051338496,17.826565062555918
2023-05-02 11:00:00,10.6,13.77,29.58,36.49,1.7197333333333333,794.1550000000001,0.0,11,2023-05-02,12.184999999999999,33.035,0.9507459106007211,15.351910929628954
2023-05-02 12:00:00,12.76,16.16,22.94,32.76,1.6897666666666666,890.3666666666667,0.0,12,2023-05-02,14.46,27.85,1.1882779057153299,17.323480370046106
2023-05-02 13:00:00,14.98,17.1,20.06,26.12,1.9524000000000001,931.0833333333334,0.0,13,2023-05-02,16.04,23.09,1.4020212214473216,18.53066089556805
2023-05-03 11:00:00,17.15,20.51,16.65,19.69,5.688116666666667,654.7083333333334,0.0,11,2023-05-03,18.83,18.17,1.7791447024502314,19.443819348113827
2023-05-03 12:00:00,19.5,21.9,18.54,23.71,6.0825499999999995,827.2166666666667,0.0,12,2023-05-03,20.7,21.125,1.9257677286409727,21.461895126803924
2023-05-03 13:00:00,21.24,23.86,19.04,24.41,6.110883333333334,881.2583333333333,0.0,13,2023-05-03,22.549999999999997,21.725,2.1399391578424876,22.949992387795056
2023-05-04 11:00:00,18.7,22.49,45.99,61.37,2.1882333333333337,769.705,0.0,11,2023-05-04,20.595,53.68,1.1236328070010688,22.332349929848448
2023-05-04 12:00:00,21.92,24.47,41.35,48.86,3.4173,806.525,0.0,12,2023-05-04,23.195,45.105000000000004,1.56052452257945,24.089726942259794
2023-05-04 13:00:00,23.33,25.78,35.09,44.6,3.1084666666666667,842.1216666666667,0.0,13,2023-05-04,24.555,39.845,1.85564634827105,24.96958862834031
2023-05-05 11:00:00,17.55,20.17,49.13,70.62,1.3813,772.0933333333334,0.0,11,2023-05-05,18.86,59.875,0.874032491804951,21.19317955354949
2023-05-05 12:00:00,19.84,21.96,43.28,54.88,1.1485999999999998,865.15,0.0,12,2023-05-05,20.9,49.08,1.2586253067218498,22.736018305253317
2023-05-05 13:00:00,21.49,23.1,39.8,52.14,1.8045499999999999,906.3833333333333,0.0,13,2023-05-05,22.295,45.97,1.4544043648027414,23.810105337702694
2023-05-06 11:00:00,15.97,18.5,62.54,76.67,1.5318166666666666,779.1716666666667,0.0,11,2023-05-06,17.235,69.605,0.5978014845145444,20.204738680787244
2023-05-06 12:00:00,17.74,20.39,49.18,71.47,1.5892666666666666,868.4683333333334,0.0,12,2023-05-06,19.064999999999998,60.325,0.8753574172150297,21.706920911704874
2023-05-06 13:00:00,19.2,21.21,46.43,62.67,1.6786333333333334,911.6333333333333,0.0,13,2023-05-06,20.205,54.55,1.0763102666385573,22.55841678004076
2023-05-07 11:00:00,20.1,21.93,47.48,59.7,3.057666666666667,782.6550000000001,0.0,11,2023-05-07,21.015,53.59,1.1552830922975617,22.697182016168536
2023-05-07 12:00:00,21.21,23.15,42.54,54.81,2.4240666666666666,859.02,0.0,12,2023-05-07,22.18,48.675,1.3719572226492063,23.66383202715865
2023-05-07 13:00:00,22.15,23.86,41.15,50.38,2.5396333333333336,844.035,0.0,13,2023-05-07,23.005,45.765,1.5241593535466806,24.108441437357314
2023-05-08 11:00:00,17.58,19.54,42.46,53.42,1.86045,784.1866666666666,0.0,11,2023-05-08,18.56,47.94,1.1129354910858535,20.628096871258844
2023-05-08 12:00:00,19.21,21.35,37.23,50.53,2.1195,878.3166666666667,0.0,12,2023-05-08,20.28,43.879999999999995,1.3351613955044426,22.131724309851894
2023-05-08 13:00:00,21.21,23.72,26.37,43.86,2.27,916.0166666666667,0.0,13,2023-05-08,22.465,35.115,1.7647427657221328,23.541731323036245
2023-05-09 11:00:00,16.35,18.24,61.07,71.87,3.480766666666667,284.3113333333333,0.0,11,2023-05-09,17.295,66.47,0.6619669165713442,18.43188763763822
2023-05-09 12:00:00,16.63,18.91,61.28,70.51,3.7966166666666665,811.6550000000001,0.0,12,2023-05-09,17.77,65.89500000000001,0.6938078661956006,20.64467109401638
2023-05-09 13:00:00,18.22,19.96,57.94,65.93,4.0148,902.3,0.0,13,2023-05-09,19.09,61.935,0.8411457628919503,21.896688643806673
2023-05-10 11:00:00,14.95,18.34,74.57,85.9,2.3579833333333338,676.99,0.0,11,2023-05-10,16.645,80.235,0.3744604289179392,19.657647378068987
2023-05-10 12:00:00,17.87,20.29,71.81,82.6,2.3462833333333335,790.0733333333334,0.0,12,2023-05-10,19.08,77.205,0.5034012169481533,21.984924902091844
2023-05-10 13:00:00,19.08,20.86,71.13,80.6,3.787183333333333,810.0366666666666,0.254,13,2023-05-10,19.97,75.865,0.5632970002354174,22.74224768299198
2023-05-11 11:00:00,19.25,21.05,68.73,76.78,2.8206333333333333,525.34,0.0,11,2023-05-11,20.15,72.755,0.6430042188207663,21.78683388270989
2023-05-11 12:00:00,20.44,22.58,66.08,75.43,2.97305,674.1983333333334,0.0,12,2023-05-11,21.509999999999998,70.755,0.750423553295566,23.335280014388097
2023-05-11 13:00:00,21.59,23.1,62.96,71.78,3.379566666666667,579.9050000000001,0.0,13,2023-05-11,22.345,67.37,0.8810236400129045,23.542333221981288
2023-05-12 11:00:00,12.05,13.52,97.9,99.9,2.2604666666666664,145.05716666666666,0.508,11,2023-05-12,12.785,98.9,0.01624519520514508,14.957094550285872
2023-05-12 12:00:00,12.94,15.24,90.9,98.2,2.6306000000000003,262.81166666666667,0.0,12,2023-05-12,14.09,94.55000000000001,0.08763411512402977,16.401071366403492
2023-05-12 13:00:00,14.58,16.31,82.9,93.8,3.2119666666666666,646.3,0.0,13,2023-05-12,15.445,88.35,0.20443670025030994,18.752766784637053
2023-05-13 11:00:00,17.25,19.02,65.52,74.2,5.616716666666666,631.8583333333333,0.0,11,2023-05-13,18.134999999999998,69.86,0.6273864795569698,20.42924377130906
